st_cd	year	lhpi_real	lpci_real
29	1995	4.517238	2.394118
29	1996	4.529504	2.407044
29	1997	4.548075	2.431766
29	1998	4.577465	2.47184
29	1999	4.604846	2.482389
29	2000	4.626668	2.510145
29	2001	4.658913	2.512285
29	2002	4.701736	2.546234
29	2003	4.720748	2.564047
29	2004	4.742829	2.567624
29	2005	4.774541	2.552065
29	2006	4.796853	2.582654
29	2007	4.796735	2.600517
29	2008	4.756601	2.638619
29	2009	4.734612	2.609617
29	2010	4.685884	2.603267
29	2011	4.627602	2.60432
30	1975	4.528735	2.130478
30	1976	4.569613	2.132074
30	1977	4.647906	2.114519
30	1978	4.753276	2.174087
30	1979	4.743358	2.122445
30	1980	4.60517	2.071409
30	1981	4.526758	2.090607
30	1982	4.50495	2.08208
30	1983	4.494874	2.109508
30	1984	4.551825	2.126135
30	1985	4.500809	2.113676
30	1986	4.494856	2.162094
30	1987	4.423316	2.170454
30	1988	4.405715	2.162943
30	1989	4.374309	2.206481
30	1990	4.347436	2.189493
30	1991	4.345618	2.196833
30	1992	4.400213	2.195904
30	1993	4.469387	2.222847
30	1994	4.536962	2.196189
30	1995	4.573492	2.19871
30	1996	4.589536	2.200587
30	1997	4.584641	2.20151
30	1998	4.589556	2.241107
30	1999	4.584805	2.235907
30	2000	4.586234	2.260227
30	2001	4.605199	2.305002
30	2002	4.640072	2.314918
30	2003	4.687096	2.35606
30	2004	4.769357	2.401395
30	2005	4.858893	2.413183
30	2006	4.931367	2.434934
30	2007	4.961703	2.439327
30	2008	4.933742	2.454475
30	2009	4.908247	2.409332
30	2010	4.864901	2.441229
